Athlete,Mark,Date
Usain Bolt,9.58,2009.8
Usain Bolt,9.63,2012.8
Yohan Blake,9.69,2012.8
Tyson Gay,9.69,2009.9
Usain Bolt,9.69,2008.8
Tyson Gay,9.71,2009.8
Asafa Powell,9.72,2008.9
Usain Bolt,9.72,2008.5
Asafa Powell,9.74,2007.9
Justin Gatlin,9.74,2015.5
Yohan Blake,9.75,2012.8
Justin Gatlin,9.75,2015.6
Justin Gatlin,9.75,2015.7
Yohan Blake,9.75,2012.6
Yohan Blake,9.76,2012.8
Usain Bolt,9.76,2012.5
Usain Bolt,9.76,2011.9
Usain Bolt,9.76,2008.5
Usain Bolt,9.77,2008.9
Asafa Powell,9.77,2005.6
Asafa Powell,9.77,2008.9
Justin Gatlin,9.77,2014.9
Usain Bolt,9.77,2013.8
Tyson Gay,9.77,2008.6
Justin Gatlin,9.77,2015.8
Tyson Gay,9.77,2009.7
Asafa Powell,9.77,2006.8
Asafa Powell,9.77,2006.6
Tyson Gay,9.78,2010.8
Asafa Powell,9.78,2011.6
Nesta Carter,9.78,2010.8
Justin Gatlin,9.78,2015.7
Asafa Powell,9.78,2007.9
Usain Bolt,9.79,2015.8
Usain Bolt,9.79,2009.7
Justin Gatlin,9.79,2012.8
Usain Bolt,9.79,2012.6
Tyson Gay,9.79,2011.6
Tyson Gay,9.79,2010.8
Maurice Greene,9.79,1999.6
Justin Gatlin,9.8,2015.8
Usain Bolt,9.8,2013.9
Maurice Greene,9.8,1999.8
Justin Gatlin,9.8,2014.7
Justin Gatlin,9.8,2016.7
Justin Gatlin,9.8,2012.6
Steve Mullings,9.8,2011.6
Usain Bolt,9.81,2009.8
Asafa Powell,9.81,2015.7
Usain Bolt,9.81,2016.8
Asafa Powell,9.82,2008.9
Asafa Powell,9.82,2008.7
Richard Thompson,9.82,2014.6
Justin Gatlin,9.82,2012.8
Asafa Powell,9.82,2010.6
Justin Gatlin,9.82,2014.7
Usain Bolt,9.82,2012.5
Usain Bolt,9.82,2010.7
Yohan Blake,9.82,2011.9
Asafa Powell,9.82,2009.9
Yohan Blake,9.82,2011.9
Maurice Greene,9.82,2001.8
Usain Bolt,9.83,2008.8
Justin Gatlin,9.83,2014.9
Justin Gatlin,9.83,2016.7
Asafa Powell,9.83,2010.5
Asafa Powell,9.83,2008.9
Asafa Powell,9.83,2007.9
Yohan Blake,9.84,2012.5
Trayvon Bromell,9.84,2015.6
Asafa Powell,9.84,2015.5
Usain Bolt,9.84,2010.7
Donovan Bailey,9.84,1996.7
Trayvon Bromell,9.84,2016.7
Asafa Powell,9.84,2015.6
Tyson Gay,9.84,2010.8
Asafa Powell,9.84,2009.8
Asafa Powell,9.84,2007.9
Tyson Gay,9.84,2007.6
Tyson Gay,9.84,2006.8
Asafa Powell,9.84,2005.5
Bruny Surin,9.84,1999.8
Nesta Carter,9.85,2010.8
Asafa Powell,9.85,2006.7
Usain Bolt,9.85,2008.8
Asafa Powell,9.85,2009.9
Richard Thompson,9.85,2011.8
Usain Bolt,9.85,2011.9
Yohan Blake,9.85,2012.7
Asafa Powell,9.85,2012.6
Mike Rodgers,9.85,2011.6
Usain Bolt,9.85,2008.6
Tyson Gay,9.85,2008.5
Tyson Gay,9.85,2007.8
Asafa Powell,9.85,2006.7
Olusoji A. Fasuba,9.85,2006.5
Asafa Powell,9.85,2005.6
Justin Gatlin,9.85,2004.8
Maurice Greene,9.85,1999.7
Leroy Burrell,9.85,1994.7
